                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.89738,                0.66091,                0.96067,                0.89098,                0.78485,                0.91662,                0.59113,                0.83007,                0.79178,                0.96123,              0.0015182,              0.0015182,              0.0015182
                     76,                0.89222,                0.65045,                0.95689,                0.88906,                0.78361,                0.91078,                0.59894,                0.84126,                0.77114,                 0.9796,              0.0015116,              0.0015116,              0.0015116
                     77,                 0.8943,                0.66781,                0.95754,                0.88901,                0.78361,                0.91296,                0.59749,                0.81618,                0.79362,                0.96324,               0.001505,               0.001505,               0.001505
                     78,                0.89868,                0.65801,                0.96524,                0.88897,                0.78233,                0.90854,                0.58668,                0.86135,                0.80046,                0.97482,              0.0014984,              0.0014984,              0.0014984
                     79,                0.89985,                  0.664,                0.96115,                0.88891,                0.78105,                0.90882,                0.59196,                0.84869,                0.83201,                0.96763,              0.0014918,              0.0014918,              0.0014918
                     80,                0.88025,                0.66982,                0.95518,                0.88913,                0.78038,                0.91361,                0.59324,                 0.8382,                 0.8098,                0.96743,              0.0014852,              0.0014852,              0.0014852
                     81,                0.87546,                0.66449,                0.95719,                0.88734,                0.78361,                 0.9136,                0.59213,                0.82473,                0.80579,                0.97448,              0.0014786,              0.0014786,              0.0014786
                     82,                0.87002,                0.67342,                0.95845,                0.89049,                0.78088,                 0.9155,                0.58696,                0.83155,                0.77133,                 0.9624,               0.001472,               0.001472,               0.001472
                     83,                0.90206,                 0.6465,                0.96851,                0.88755,                0.77977,                0.91669,                0.58849,                0.83901,                0.79531,                0.97746,              0.0014654,              0.0014654,              0.0014654
                     84,                0.88493,                0.63563,                0.96414,                0.88723,                0.77569,                 0.9082,                0.58532,                0.85187,                0.78852,                0.98884,              0.0014588,              0.0014588,              0.0014588
                     85,                0.86655,                0.63888,                 0.9552,                  0.887,                0.77721,                0.90784,                0.60161,                0.83104,                0.79202,                0.97312,              0.0014522,              0.0014522,              0.0014522
                     86,                0.87379,                0.64223,                0.95418,                0.88743,                0.77727,                0.90922,                0.59288,                0.83192,                0.79902,                0.96405,              0.0014456,              0.0014456,              0.0014456
                     87,                0.87174,                 0.6363,                0.95433,                 0.8883,                0.78405,                0.90871,                0.58727,                0.78994,                0.79976,                0.96077,               0.001439,               0.001439,               0.001439
                     88,                0.88027,                0.65553,                0.95688,                  0.888,                0.78167,                0.91307,                0.58667,                0.87839,                0.82373,                0.97977,              0.0014324,              0.0014324,              0.0014324
                     89,                0.90033,                0.66523,                0.96239,                0.88726,                0.77592,                0.91175,                0.59209,                0.83189,                0.80255,                0.96662,              0.0014258,              0.0014258,              0.0014258
                     90,                0.87998,                0.65912,                0.96322,                0.89011,                0.77789,                0.91306,                0.60316,                0.80057,                0.78647,                0.95284,              0.0014192,              0.0014192,              0.0014192
                     91,                0.84893,                0.64266,                0.94692,                0.89063,                0.78105,                 0.9158,                0.59001,                0.84006,                0.79702,                0.96549,              0.0014126,              0.0014126,              0.0014126
                     92,                0.88129,                0.65436,                0.95802,                 0.8855,                0.78224,                0.91481,                0.59801,                0.81905,                 0.7804,                0.96412,               0.001406,               0.001406,               0.001406
                     93,                0.87882,                0.64984,                0.95666,                0.88858,                 0.7863,                0.91123,                  0.594,                0.81424,                0.79863,                0.96277,              0.0013994,              0.0013994,              0.0013994
                     94,                0.86961,                0.65365,                0.95656,                0.88855,                0.78607,                0.91298,                0.58279,                0.84552,                0.80846,                0.96442,              0.0013928,              0.0013928,              0.0013928
                     95,                 0.8783,                0.64047,                0.95295,                0.88208,                0.78361,                0.90826,                0.58415,                0.80773,                0.82274,                0.96629,              0.0013862,              0.0013862,              0.0013862
                     96,                0.88597,                0.66465,                0.95695,                0.88651,                0.78015,                0.91218,                0.59553,                0.81721,                0.77818,                0.96875,              0.0013796,              0.0013796,              0.0013796
                     97,                0.88886,                 0.6516,                0.96508,                0.88949,                0.78322,                0.91393,                0.59958,                0.81324,                0.79455,                0.96309,               0.001373,               0.001373,               0.001373
                     98,                0.87851,                0.65327,                0.95826,                0.88834,                0.78434,                0.91254,                0.60192,                0.81439,                0.78205,                0.96089,              0.0013664,              0.0013664,              0.0013664
                     99,                  0.885,                0.63954,                0.95849,                0.89271,                0.78841,                 0.9134,                0.59132,                0.84722,                0.78853,                0.97131,              0.0013598,              0.0013598,              0.0013598
                    100,                  0.872,                0.65793,                 0.9588,                0.89026,                0.78233,                0.90807,                0.59744,                0.82822,                0.78797,                0.96638,              0.0013532,              0.0013532,              0.0013532
                    101,                0.86613,                0.64838,                 0.9517,                0.88775,                0.77971,                0.91159,                0.58866,                0.83749,                0.77141,                0.97069,              0.0013466,              0.0013466,              0.0013466
                    102,                0.88005,                0.64888,                0.96596,                0.89268,                0.77751,                0.91284,                0.59366,                0.85967,                0.78777,                 0.9894,                0.00134,                0.00134,                0.00134
                    103,                0.86741,                0.64164,                0.95389,                0.89223,                0.78441,                0.91618,                0.60109,                0.82849,                0.81171,                0.96533,              0.0013334,              0.0013334,              0.0013334
                    104,                 0.8624,                0.63748,                0.95494,                0.88423,                 0.7824,                0.91149,                0.59677,                0.82645,                0.77827,                0.96941,              0.0013268,              0.0013268,              0.0013268
                    105,                0.86658,                0.64822,                0.95264,                0.88879,                0.78233,                0.90731,                0.60284,                0.82594,                0.78708,                0.96975,              0.0013202,              0.0013202,              0.0013202
                    106,                 0.8526,                0.62798,                0.95247,                0.89015,                0.77849,                0.90907,                0.58286,                 0.8641,                 0.7948,                0.97969,              0.0013136,              0.0013136,              0.0013136
