                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 0.7765,                  0.328,                0.91447,                0.91324,                0.85155,                0.92366,                0.62473,                 1.2698,                0.61461,                0.97524,              0.0011981,              0.0011981,              0.0011981
                     84,                0.76811,                0.33012,                0.90661,                0.94998,                0.80562,                0.91363,                 0.6321,                 1.2702,                0.67382,                0.97957,              0.0011882,              0.0011882,              0.0011882
                     85,                 0.7753,                0.33528,                0.91379,                0.89165,                0.87602,                0.92098,                0.62187,                 1.2782,                0.65221,                0.98462,              0.0011783,              0.0011783,              0.0011783
                     86,                0.78727,                0.33563,                0.91273,                0.90559,                0.84494,                0.91282,                0.61212,                  1.302,                0.68162,                0.98511,              0.0011684,              0.0011684,              0.0011684
                     87,                0.78153,                0.32957,                0.90816,                0.90737,                0.86287,                0.92396,                0.63636,                 1.2559,                0.63535,                0.96655,              0.0011585,              0.0011585,              0.0011585
                     88,                0.78011,                0.33086,                0.90991,                0.87242,                0.86623,                0.91038,                0.61782,                  1.275,                0.64976,                0.97295,              0.0011486,              0.0011486,              0.0011486
                     89,                0.77603,                 0.3272,                0.91167,                0.89657,                 0.8767,                0.92479,                0.62707,                  1.242,                0.60843,                0.97164,              0.0011387,              0.0011387,              0.0011387
                     90,                0.77713,                0.32784,                0.91138,                0.90581,                0.84716,                0.91745,                0.62874,                 1.2802,                0.67156,                0.97376,              0.0011288,              0.0011288,              0.0011288
                     91,                0.77993,                0.32783,                0.91874,                0.90819,                0.85526,                0.91887,                0.62202,                 1.2595,                0.60562,                0.96519,              0.0011189,              0.0011189,              0.0011189
                     92,                0.79313,                0.33497,                0.92173,                0.89755,                0.88091,                0.92494,                0.62863,                 1.2531,                 0.6358,                0.96269,               0.001109,               0.001109,               0.001109
                     93,                0.75882,                0.32266,                0.90804,                 0.9323,                0.84339,                0.92019,                0.62635,                 1.2735,                0.62334,                 0.9646,              0.0010991,              0.0010991,              0.0010991
                     94,                0.77039,                0.32159,                0.90679,                0.89605,                0.86297,                0.92026,                0.61904,                 1.2665,                 0.6031,                0.96549,              0.0010892,              0.0010892,              0.0010892
                     95,                 0.7692,                0.32689,                0.91669,                0.91366,                0.86297,                0.92464,                0.63716,                 1.2527,                 0.6011,                0.95975,              0.0010793,              0.0010793,              0.0010793
                     96,                0.75135,                0.32372,                0.90832,                0.88545,                0.85745,                0.92151,                0.62846,                 1.2662,                 0.6225,                0.96582,              0.0010694,              0.0010694,              0.0010694
                     97,                 0.7584,                0.32673,                0.90442,                0.91564,                0.84986,                0.91569,                0.62152,                 1.2554,                0.59414,                 0.9635,              0.0010595,              0.0010595,              0.0010595
                     98,                0.78521,                0.33046,                0.91082,                0.90878,                0.84339,                0.92437,                0.62829,                 1.2625,                0.60649,                0.95557,              0.0010496,              0.0010496,              0.0010496
                     99,                0.76911,                0.32795,                0.91823,                0.91157,                0.85808,                0.91942,                0.62154,                  1.246,                0.59604,                0.95705,              0.0010397,              0.0010397,              0.0010397
                    100,                0.76995,                 0.3205,                0.91589,                0.92991,                0.84409,                0.92059,                0.62951,                 1.2436,                0.63402,                0.95774,              0.0010298,              0.0010298,              0.0010298
                    101,                0.75963,                0.31765,                0.90498,                 0.9213,                0.84029,                0.91497,                0.62099,                 1.2663,                0.64588,                0.96028,              0.0010199,              0.0010199,              0.0010199
                    102,                0.76322,                0.32363,                0.90166,                 0.9071,                0.87608,                0.92514,                0.63029,                 1.2392,                0.59122,                0.97458,                0.00101,                0.00101,                0.00101
                    103,                0.75493,                0.31991,                0.90621,                0.90357,                0.87602,                 0.9249,                0.63096,                 1.2754,                0.58656,                0.97496,              0.0010001,              0.0010001,              0.0010001
                    104,                0.75908,                0.32055,                0.89946,                0.89966,                0.83197,                  0.907,                0.62094,                 1.2603,                0.59786,                0.99031,              0.0009902,              0.0009902,              0.0009902
                    105,                 0.7524,                0.32053,                0.89967,                0.89398,                0.85286,                0.92084,                0.62233,                 1.2747,                0.59934,                0.97938,              0.0009803,              0.0009803,              0.0009803
                    106,                0.74953,                0.31589,                0.90937,                0.89118,                0.85644,                0.91233,                0.62833,                 1.2259,                0.57961,                0.95122,              0.0009704,              0.0009704,              0.0009704
                    107,                0.76113,                 0.3201,                 0.9055,                0.91411,                0.86814,                0.92764,                0.63313,                 1.2643,                 0.6139,                0.97847,              0.0009605,              0.0009605,              0.0009605
                    108,                0.75174,                0.31957,                0.90372,                0.91587,                0.85247,                0.92211,                0.63655,                 1.2597,                0.59355,                0.96747,              0.0009506,              0.0009506,              0.0009506
                    109,                0.74756,                0.31394,                0.90264,                 0.9222,                0.87113,                0.92822,                0.63822,                 1.2452,                0.59207,                0.96775,              0.0009407,              0.0009407,              0.0009407
                    110,                 0.7637,                0.31816,                0.91029,                0.90483,                0.88403,                0.93182,                0.64113,                 1.2543,                0.60481,                0.96399,              0.0009308,              0.0009308,              0.0009308
                    111,                0.75812,                0.31462,                0.91121,                0.93227,                0.86134,                0.92898,                0.63439,                 1.2914,                0.61043,                 0.9751,              0.0009209,              0.0009209,              0.0009209
                    112,                0.79054,                0.32625,                0.91902,                 0.9539,                0.84392,                0.92705,                 0.6335,                 1.2711,                0.59945,                0.94651,               0.000911,               0.000911,               0.000911
                    113,                0.75747,                0.31613,                0.91006,                0.91321,                0.85824,                0.92567,                0.63753,                 1.2334,                0.59762,                 0.9513,              0.0009011,              0.0009011,              0.0009011
                    114,                0.74604,                0.31237,                0.89705,                0.96307,                0.81892,                0.92291,                0.63417,                 1.2599,                0.60846,                0.97426,              0.0008912,              0.0008912,              0.0008912
                    115,                 0.7712,                0.31735,                0.91184,                0.93686,                0.84714,                0.92584,                0.63399,                 1.2386,                0.59923,                0.96363,              0.0008813,              0.0008813,              0.0008813
                    116,                0.75226,                0.31666,                0.90013,                0.93814,                0.84113,                0.92705,                0.63497,                 1.2385,                0.60079,                0.95835,              0.0008714,              0.0008714,              0.0008714
                    117,                0.72643,                0.30904,                0.89899,                 0.9221,                0.84961,                0.92306,                0.63146,                 1.2615,                0.60678,                0.96546,              0.0008615,              0.0008615,              0.0008615
                    118,                0.73589,                0.31342,                0.90114,                0.87886,                0.88254,                0.92571,                0.63592,                 1.2629,                0.61101,                0.97453,              0.0008516,              0.0008516,              0.0008516
                    119,                0.75503,                0.31039,                0.90693,                0.89565,                0.86812,                0.92956,                0.63872,                  1.246,                0.59975,                0.97196,              0.0008417,              0.0008417,              0.0008417
